436;1888;6;;......;......
452;1900;19;;Sir, may I come in?;Monsieur, puis-je entrer?
468;1924;60;;Kreis...&Any results on that thing I asked you to look into?;Kreis ... Des r<sultats sur cette chose sur laquelle&je t'ai demand<e de te pencher?
484;1992;51;;Yes, sir. &For starters, this bullet you gave me...;Oui, monsieur. Pour commencer, cette balle que&vous m'avez donn<e ...
500;2048;91;;Its shape and markings perfectly match rounds&used by an experimental Gallian sniper rifle.;Sa forme et les marques correspondent exactement aux balles&utilis<es par un fusil de sniper Gallian exp<rimental.
516;2144;71;;I see... So Alicia really was shot by someone&inside the Gallian force.;Je vois... Alors Alicia a vraiment <t< touch<e par quelqu'un&de la force Galli<nne.
532;2220;30;;So, any leads on who fired it?;Alors, un indice sur qui a tir< sur elle?
548;2256;18;;...Yes, sir. It...;... Oui, monsieur. Il ...
564;2280;15;;Tell me, Kreis.;Dit-moi, Kreis.
580;2300;86;;The night before the shooting,&records show Lieutenant Landzaat checked out the rifle.;La nuit avant le tir, les dossiers montrent que le&lieutenant Landzaat avait r<clam< le fusil.
596;2392;65;;What?! Faldio had the gun? &Are you sure that's not some mistake?;Quoi ?! Faldio avait l'arme?&Es-tu sur que ce ne soit pas une erreur?
612;2464;86;;It's rare for a tank commander to ask for a sniper rifle,&so the clerk remembered him.;C'est rare pour un commandant de char de demander un fusil&de sniper,c'est pour cela que l'armurier se souvient de lui.
628;2556;92;;Sir, only two of those rifles exist right now.&One is confirmed to be locked in the arsenal.;Monsieur, seulement deux de ces fusils existent en ce&moment. Un est confirm< pour $tre verrouill< dans l'arsenal.
644;2656;79;;...The other was checked out to Lieutenant Landzaat&and has yet to be returned.;... L'autre a <t< retir< par le Lieutenant Landzaat&et doit encore $tre retourn<.
660;2740;44;;I can't... It's hard for me to believe, too.;Je ne peux pas...&C'est difficile pour moi de le croire, aussi.
676;2792;28;;Faldio...? It couldn't be...;Faldio...?&Cela ne pouvait pas $tre ...
692;2828;22;;Hey, Faldio... You in?;Hey, Faldio...&Tu es l=?
708;2856;10;;Guess not.;Suppose que non.
724;2872;71;;"Notes on the Valkyrian Race...&""The Anthropology of the Valkyrur""...?";Notes sur la Race Valkyrian…&£L'Anthropologie des Valkyrur£ ...?
740;2948;37;;Maybe he was reading up on the enemy.;Peut-$tre qu'il s'informait sur l'ennemi.
756;2992;28;;Hm?&This is his handwriting.;Hm? C'est son <criture.
772;3028;32;;Alicia must be made to awaken.;Alicia doit $tre <veill<e.
788;3068;9;;What...?!;Quoi ...?!
804;3084;85;;Alicia must be made to awaken. No matter&how much I try, I can think of no other way.;Alicia doit $tre <veill<e. Peu importe combien j'y r<fl<chie, je ne peux penser = aucune autre mani>re.
820;3176;78;;I almost wish I had never joined them on that&expedition to the Barious ruins.;Je souhaite presque ne jamais les avoir rejoint sur cette exp<dition aux ruines Barious.
836;3260;66;;I'm convinced that inner chamber was built to&admit only Valkyrur,;Je suis convaincu que la chambre int<rieure a <t< construit pour n'admettre que les Valkyrur,
852;3332;33;;but the door opened at&her touch.;mais la porte s'est ouverte = son contact.
868;3372;77;;That could only mean that the blood&of their tribe courses through her veins.;Cela ne peut que signifier que le sang de leur tribus coule dans ses veines.
884;3456;86;;Still, I was shocked to find her bathed in&that uncanny light that night in the field.;Pourtant, j'ai <t< choqu< de  la trouver baign< dans cette lumi>re <trange cette nuit-l= sur le terrain.
900;3548;92;;Though I doubted my eyes, I never once doubted&that that light was the Valkyrian blue flame.;Bien que j'ai dout< de mes yeux, je n'ai jamais dout< que cette lumi>re <tait la flamme bleue Valkyrian.
916;3648;85;;Ultimately I had no choice but to accept the&simple truth that Alicia is one of them.;En fin de compte je n'avais pas d'autre choix que d'accepter la simple v<rit< qu'Alicia est l'une d'elles.
932;3740;41;;I'd already begun to question all I knew.;J'avais d<j= commenc< = remettre en question tout ce que je savais.
948;3788;111;;The walls of the temple sanctum were inscribed&with the Valkyrur's account of history.&History as it truly was.;Les murs du sanctuaire du temple sont couvert du compte rendu Valkyrur de l'histoire. L'histoire qui s'est vraiment pass<.
964;3904;91;;We are all taught of the Darcsen Calamity, and&how their actions forever scorched the land.;Nous avons tous appris sur la Calamit< Darcsen, et comment leurs actions ont brul< la terre = jamais.
980;4000;40;;But this account told a different story.;Mais ce compte rendu raconte une histoire diff<rente.
996;4048;98;;The Valkyrur invaded this land from the north,&slaying the indigenous Darcsen people as they&came.;Les Valkyrur ont envahi ces terres du nord, tuant les gens Darcsen indig>nes pendant leur approche.
1012;4152;74;;Their grasp of ragnite technology and&the art of war were vastly superior.;Leur maitrise de la technologie ragnite et l'art de la guerre <taient largement sup<rieure.
1028;4232;85;;They trained the destructive power of ragnite&on the Darcsens' land, burned it to ash;Ils ont utilis< la puissance destructrice de la ragnite sur les terres des Darcsens, r<duites en cendres
1044;4324;88;;then&had the gall to pass the blame for their&inhuman deeds off on their Darcsen slaves.;puis ont eu le culot de rejeter la responsabilit< de leurs actes inhumains sur leurs esclaves Darcsen.
1060;4420;86;;Darcsens have borne that stigma ever since,&while the Valkyrur became godlike saviors.;Les Darcsens ont <t< stigmatiser depuis, tandis que les Valkyrur sont devenu des sauveurs divins.
1076;4512;45;;The victors simply rewrote the history books.;Les vainqueurs ont simplement r<<crit les livres d'histoire.
1092;4564;81;;The Barious ruins promulgate a lie to&all but their own descendants as hard fact.;Les ruines Barious promulguent un mensonge = tous, mais = leurs propres descendants la dure r<alit<.
1108;4652;86;;"Reading about the Valkyrur's power, the true&face of these ""saviors,"" left me stunned.";Lire sur le pouvoir de la Valkyrur, le vrai visage de ces £sauveurs£, m'a laiss< pantois.
1124;4744;83;;Yet, at the same time, I cannot help but think&of how useful it could be to us now.;Pourtant, en m$me temps, je ne peux pas m'emp$cher de penser = facon dont il pourrait $tre utile pour nous maintenant.
1140;4832;81;;Since then, I've investigated every text and&report on the Valkyrur I could find.;Depuis lors, j'ai <tudi< tous les textes et rapport sur les Valkyrur que j'ai pu trouver.
1156;4920;98;;They lead&me to believe that at least a few scions of&the Valkyrur must have survived to this day.;Ils m'ont porter = croire qu'au moins quelques descendants des Valkyrur doivent avoir surv<cu = ce jour.
1172;5024;83;;All across Europa, these rare individuals live&and die unaware of their own nature.;Partout en Europa, ces rares individus vivent et meurent sans $tre au courant de leur propre nature.
