140;408;42;;...Awful lot of spots to hide around here.;... Trop d'endroits ou se cacher par ici.
156;456;85;;Yeah. Especially around those rocks,&I can see a lot of unexpected run-ins happening.;Ouais. En particulier autour de ces rochers,&je pr<vois beaucoup de rencontres impr<vues.
172;548;64;;Heh, better believe they'll be runnin'.&I'm a damn shocktrooper.;H<, tu ferais mieux de croire qu'ils vont courir.&Je suis une putain de commando.
188;620;68;;All right, let's begin the mission!&Take out every last one of them!;Tr>s bien, commencons la mission!&Eliminez-les jusqu'au dernier!
204;696;77;;The world's better off with those oily dark-&hairs dead 'n' gone, you idiots!;Le monde se porterait mieux avec ces sales&noirauds morts et enterr<s, bande d'idiots!
220;780;72;;Get in our way and we'll be all too happy to&send you to your next life!;Mettez-vous en travers de notre chemin et nous nous&ferons un plaisir de vous envoyer dans l'au-del=!
236;860;39;;Why risk your hide for some dark-hair?!;Pourquoi risquer votre peau pour quelques noirauds?!
252;904;84;;There's those who rule and those who obey.&That's the way this world was made to be!;Il y a ceux qui r>gnent et ceux qui ob<issent.&C'est comme ca que le monde doit tourner!
268;996;51;;Gah, who ARE these guys?! &They just won't go down!;Gah, qui sont ces mecs?!&Ils refusent de mourir!
284;1052;67;;We've got no choice! Pull out!&Everybody, get out the best you can.;On n'a pas le choix! Repli g<n<ral!&Tout le monde, repliez-vous comme vous pouvez.
300;1124;75;;You know where to meet up afterwards.&Once we all get there, the hunt's on!;Vous savez tous ou aller ensuite.&Une fois qu'on sera tous l= bas, la chasse recommencera!
316;1204;88;;Smug bastards! They're makin' plans for their&next hunt before they're even out of this!;Batards arrogants! Ils planifient leur prochaine&chasse avant m$me d'$tre sortis de celle-l=!
332;1300;78;;7's, we're huntin' these cowards right back!&Don't let a single one of 'em go!;Les 7s, on continue de chasser ces laches!&Et ne laissez pas un seul d'entre eux s'<chapper!
348;1384;28;;Heh heh, almost home free...;Ah ah, bientot libre...
364;1420;68;;Hey! One of those Imperials is getting away!&Hurry up and catch him!;H<! Un de ces imperiaux va s'<chapper!&D<p<chez-vous et attrapez-le!
380;1496;61;;Hee hee hee! Easy as pie.&See ya later, champions of justice!;H< h< h<! Les doigts dans le nez.&A la revoyure, bande de justiciers!
396;1564;30;;Dammit! We let him get away...;Mince! On l'a laiss< s'<chapper...
