4300;8067;;      Krimm N-246 46/45mm cannon;;      Krimm N-246 46/45mm cannon
4400;8100;;      Krimm N-520 20/122mm cannon;;      Krimm N-520 20/122mm cannon
4500;8134;;      Krimm N-6MX 130mm cannon x19;;      Krimm N-6MX 130mm cannon x19
4496;8169;;      Mustela 340mm cannon x2;;      Mustela 340mm cannon x2
4492;8199;;      Mustela 800mm cannon x2;;      Mustela 800mm cannon x2
4304;8229;;      Uranus 20mm tank machine gun x2;;      Uranus 20mm tank machine gun x2
4504;8267;;      Uranus 37mm machine cannon x12;;      Uranus 37mm machine cannon x12
4404;8304;;      Uranus 9mm tank machine gun x6;;      Uranus 9mm tank machine gun x6
4396;8341;;      Zabot 12/340mm cannon x2;;      Zabot 12/340mm cannon x2
3068;8372;;"BC or ""Before Conquest.""";;"BC or ""Before Conquest."""
4524;8399;;terrestrial dreadnought. Four engines;;terrestrial dreadnought. Four engines
2956;8439;;18th Century Industrial Revolution gave;;18th Century Industrial Revolution gave
3512;8479;;A common term for the systematic capture;;A common term for the systematic capture
2840;8520;;A conglomerate of nations united under;;A conglomerate of nations united under
2416;8559;;A high-voltage electric fence surrounded;;A high-voltage electric fence surrounded
3608;8600;;A longstanding tradition in Gallia, this;;A longstanding tradition in Gallia, this
4952;8641;;A massive lance-form weapon believed to;;A massive lance-form weapon believed to
5240;8681;;A perennial plant found across Gallia,;;A perennial plant found across Gallia,
3896;8720;;A standing self-defense force serves to;;A standing self-defense force serves to
5108;8760;;A surging need for tank fuel and;;A surging need for tank fuel and
5336;8793;;A winged cousin to the common pig, found;;A winged cousin to the common pig, found
5400;8834;;Affectionate and intelligent, they are;;Affectionate and intelligent, they are
2376;8873;;After capturing Fouzen, the Empire was;;After capturing Fouzen, the Empire was
2704;8912;;After claiming the citadel, the Empire;;After claiming the citadel, the Empire
4248;8951;;After the Empire employed highly mobile;;After the Empire employed highly mobile
4980;8991;;After the War of the Valkyrur, the spear;;After the War of the Valkyrur, the spear
1992;9032;;Allegedly scorched as a result of the;;Allegedly scorched as a result of the
2808;9070;;Alliance and the Atlantic Federation,;;Alliance and the Atlantic Federation,
2200;9108;;Along the outer wall, further writings;;Along the outer wall, further writings
1700;9147;;Amatriain, in honor of General;;Amatriain, in honor of General
1704;9178;;Amatriain, who was responsible for;;Amatriain, who was responsible for
1976;9213;;An arid desert devoid of all vegetation;;An arid desert devoid of all vegetation
4296;9253;;Arms: Mustela K5T10 280mm cannon;;Arms: Mustela K5T10 280mm cannon
4488;9286;;Arms: Valkof;;Arms: Valkof
4392;9299;;Arms: Zabot 18/340mm ragna-cannon;;Arms: Zabot 18/340mm ragna-cannon
5488;9333;;Army were repurposed to turn the plane's;;Army were repurposed to turn the plane's
5048;9374;;As Europa's primary energy source, this;;As Europa's primary energy source, this
2744;9414;;As a resource-rich part of the largest;;As a resource-rich part of the largest
5288;9453;;As an exceptionally hardy plant, they;;As an exceptionally hardy plant, they
3904;9491;;As every citizen receives basic military;;As every citizen receives basic military
2264;9532;;As one of Gallia's richest mining sites,;;As one of Gallia's richest mining sites,
5816;9573;;As part of a defensive force, Gallian;;As part of a defensive force, Gallian
4088;9611;;As the nation's only arms manufacturer,;;As the nation's only arms manufacturer,
2572;9651;;As the object of several border disputes;;As the object of several border disputes
4184;9692;;At the turn of the 20th Century, a time;;At the turn of the 20th Century, a time
2932;9732;;Atlantic Federation;;Atlantic Federation
2068;9752;;Barious Ruins Antechamber;;Barious Ruins Antechamber
2164;9778;;Barious Ruins Sanctum;;Barious Ruins Sanctum
2172;9800;;Barious Temple hides within it an inner;;Barious Temple hides within it an inner
4372;9840;;Batomys;;Batomys
4628;9848;;Because beliefs have traditionally taken;;Because beliefs have traditionally taken
4900;9889;;Because contact with a Valkyria triggers;;Because contact with a Valkyria triggers
3224;9930;;Beginning as an Imperial incursion into;;Beginning as an Imperial incursion into
5912;9970;;Born in the late 19th Century as a means;;Born in the late 19th Century as a means
4148;10011;;Brondel in skill. Brondel, who rose to;;Brondel in skill. Brondel, who rose to
1300;10050;;Bruhl;;Bruhl
5452;10056;;Built according to design notes left by;;Built according to design notes left by
4508;10096;;Built to Maximilian's specifications in;;Built to Maximilian's specifications in
3336;10136;;By circa 30 BC, the Darcsens are said to;;By circa 30 BC, the Darcsens are said to
2800;10177;;By the 1800's, the balance of power lay;;By the 1800's, the balance of power lay
5688;10217;;By the end of the 2nd Century after the;;By the end of the 2nd Century after the
3544;10257;;Captives were alternately used as slaves;;Captives were alternately used as slaves
1644;10298;;Castle Randgriz, home to the archduke,;;Castle Randgriz, home to the archduke,
3148;10337;;Century led to skyrocketing demand for;;Century led to skyrocketing demand for
1404;10376;;Century, when Castle Randgriz was built;;Century, when Castle Randgriz was built
3528;10416;;Continuing the long history of prejudice;;Continuing the long history of prejudice
2980;10457;;Councilor acts as the Federation's chief;;Councilor acts as the Federation's chief
2356;10498;;Darcsen Concentration Camp;;Darcsen Concentration Camp
3700;10525;;Darcsen Good-Luck Dolls;;Darcsen Good-Luck Dolls
2360;10549;;Darcsen laborers collected during;;Darcsen laborers collected during
3736;10583;;Darcsen pattern. Additional clothing and;;Darcsen pattern. Additional clothing and
4772;10624;;Darcsen population in unprovoked combat,;;Darcsen population in unprovoked combat,
3372;10665;;Darcsen rampage, they brought peace to;;Darcsen rampage, they brought peace to
5572;10704;;Darcsen traitors subsequently claimed to;;Darcsen traitors subsequently claimed to
5716;10745;;Darcsens;;Darcsens
2128;10754;;Decorated with a motif believed to be a;;Decorated with a motif believed to be a
5144;10794;;Depending on the refinery methods used,;;Depending on the refinery methods used,
1264;10834;;Despite its size of only 38,567 sq. km;;Despite its size of only 38,567 sq. km
5256;10873;;Distinguishing characteristics include;;Distinguishing characteristics include
3196;10912;;During the war, Gallia's military, led;;During the war, Gallia's military, led
2836;10951;;E Europan Imperial Alliance;;E Europan Imperial Alliance
3028;10979;;EC (Europan Calendar);;EC (Europan Calendar)
