11172;38131;;Bird among his friends in the squad.;;Bird among his friends in the squad.
22400;38170;;Gallian Girl weekly her preferred fix;;Gallian Girl weekly her preferred fix
13352;38210;;I Think I Can't, a self-published;;I Think I Can't, a self-published
17236;38246;;that damned mole among his enemies.;;that damned mole among his enemies.
3384;38284;;3rd Regiment Captain and direct superior;;3rd Regiment Captain and direct superior
18096;38325;;A close friend of Ted's, the two often;;A close friend of Ted's, the two often
2120;38364;;A country girl, she saw no shortage of;;A country girl, she saw no shortage of
27160;38403;;A discerning eye for profit and abundant;;A discerning eye for profit and abundant
11176;38444;;A fan of any spot with a clear view, he;;A fan of any spot with a clear view, he
23720;38484;;A long chain of turf battles ultimately;;A long chain of turf battles ultimately
18088;38524;;A lover of all types of meat, porcavians;;A lover of all types of meat, porcavians
10328;38565;;A lover of animals, he hoped to become a;;A lover of animals, he hoped to become a
1688;38606;;A lover of nature since childhood, his ;;A lover of nature since childhood, his 
3448;38646;;A lust for revenge for her slain love,;;A lust for revenge for her slain love,
12472;38685;;A major tank aficionado, he enlisted for;;A major tank aficionado, he enlisted for
23272;38726;;A mother hen by nature, he worked as a;;A mother hen by nature, he worked as a
2568;38765;;A natural tinkerer, her hobbies include;;A natural tinkerer, her hobbies include
20264;38805;;A pioneer in the raising of longhaired;;A pioneer in the raising of longhaired
7720;38844;;A presence in the Gunther house since;;A presence in the Gunther house since
34936;38882;;A sadist to the core, he experienced a;;A sadist to the core, he experienced a
34520;38921;;A specialist in shock-and-awe tactics,;;A specialist in shock-and-awe tactics,
20680;38960;;A sucker for anything trendy, she often;;A sucker for anything trendy, she often
4712;39000;;Accustomed to closing one eye to aid in;;Accustomed to closing one eye to aid in
32776;39040;;Actually a set of triplets named;;Actually a set of triplets named
22840;39073;;Adversity only makes her stronger as she;;Adversity only makes her stronger as she
16808;39114;;After EWII, she left on a journey-;;After EWII, she left on a journey-
5160;39149;;After Isara's death, he requested to be;;After Isara's death, he requested to be
33656;39189;;After being identified as a Valkyria in;;After being identified as a Valkyria in
7736;39229;;After evacuating Bruhl, she moved to the;;After evacuating Bruhl, she moved to the
12056;39270;;After leaving Squad 7, he began a school;;After leaving Squad 7, he began a school
4296;39311;;After losing her family in an Imperial;;After losing her family in an Imperial
28040;39350;;After marrying his Darcsen lover, Lynn,;;After marrying his Darcsen lover, Lynn,
27176;39390;;After opening Gallia's first casino in;;After opening Gallia's first casino in
24584;39429;;After opening his dream restaurant back;;After opening his dream restaurant back
5176;39469;;After receiving the late Isara's tools;;After receiving the late Isara's tools
12920;39508;;After saving the daughter of a well-off;;After saving the daughter of a well-off
4744;39548;;After the war's end, he dedicated his;;After the war's end, he dedicated his
18536;39586;;After the war, he invited a group of his;;After the war, he invited a group of his
14216;39627;;After the war, she returned to Fouzen as;;After the war, she returned to Fouzen as
7704;39668;;Age 38. Nanny to the Gunther family like;;Age 38. Nanny to the Gunther family like
9000;39709;;Age 52. A frequent visitor to the graves;;Age 52. A frequent visitor to the graves
8996;39750;;Aged Gentleman;;Aged Gentleman
22820;39765;;Aika;;Aika
15476;39770;;Aisha;;Aisha
11156;39776;;Alex;;Alex
2084;39781;;Alicia;;Alicia
12040;39788;;Alicia bears a strong resemblance to the;;Alicia bears a strong resemblance to the
19836;39829;;Alicia compilation, he heard of her ;;Alicia compilation, he heard of her 
24564;39866;;Alicia in baking bread on his days off.;;Alicia in baking bread on his days off.
28896;39906;;Alicia, whom she proceeded to follow;;Alicia, whom she proceeded to follow
1728;39943;;Alicia, whose friendship has become an;;Alicia, whose friendship has become an
10760;39982;;Always quick to mimic her mother, Isara;;Always quick to mimic her mother, Isara
35348;40022;;Ambassador;;Ambassador
6456;40033;;An accomplished ballerina, trained since;;An accomplished ballerina, trained since
34536;40074;;An avid equestrian, he frequently went;;An avid equestrian, he frequently went
3416;40113;;An avid reader, her private quarters are;;An avid reader, her private quarters are
15928;40154;;Any hesitation she may have felt on the;;Any hesitation she may have felt on the
35360;40194;;Appointed to lead the diplomatic mission;;Appointed to lead the diplomatic mission
6428;40235;;Archduke and Duchess of Gallia, left her;;Archduke and Duchess of Gallia, left her
6412;40276;;Archdukes who rule the nation. At the;;Archdukes who rule the nation. At the
10312;40314;;As a perpetually calm intellectual type,;;As a perpetually calm intellectual type,
6856;40355;;As heir to a noble house with roots back;;As heir to a noble house with roots back
6904;40396;;As part of a plot for control of Gallia,;;As part of a plot for control of Gallia,
25412;40437;;Audrey;;Audrey
25880;40444;;Back home, she founded a fitness center.;;Back home, she founded a fitness center.
9428;40485;;Belgen Gunther;;Belgen Gunther
3832;40500;;Believing that frontline experience is;;Believing that frontline experience is
33688;40539;;Bested at Ghirlandaio, she sacrificed;;Bested at Ghirlandaio, she sacrificed
13768;40577;;Bleak circumstances only excite him all;;Bleak circumstances only excite him all
6908;40617;;Borg served as a spy for the Empire. As;;Borg served as a spy for the Empire. As
2984;40657;;Born a Randgrizer, he personified blithe;;Born a Randgrizer, he personified blithe
24136;40698;;Born in an isolated village, he bears a;;Born in an isolated village, he bears a
34504;40738;;Born into the rank of count in a family;;Born into the rank of count in a family
2136;40778;;Born of unknown parentage and raised in;;Born of unknown parentage and raised in
4696;40818;;Born the son of a poor family of Darcsen;;Born the son of a poor family of Darcsen
33624;40859;;Brigadier General, age 22. Member of the;;Brigadier General, age 22. Member of the
23704;40900;;Burly, rugged and stoic, he's had more;;Burly, rugged and stoic, he's had more
5128;40939;;Called to enlist while working a factory;;Called to enlist while working a factory
34920;40980;;Captain, age 43. Though his unparalleled;;Captain, age 43. Though his unparalleled
32324;41021;;Catherine;;Catherine
31460;41031;;Cezary;;Cezary
22388;41038;;Cherry;;Cherry
30164;41045;;Claudia;;Claudia
12020;41053;;Coby;;Coby
6404;41058;;Cordelia;;Cordelia
35368;41067;;Cordelia's kidnapping was decided upon;;Cordelia's kidnapping was decided upon
6852;41106;;Cordelia, handling affairs in her stead.;;Cordelia, handling affairs in her stead.
2520;41147;;Corporal, age 16. Squad 7 tank pilot.;;Corporal, age 16. Squad 7 tank pilot.
4248;41185;;Corporal, age 27. Squad 7 shocktrooper.;;Corporal, age 27. Squad 7 shocktrooper.
9024;41225;;Corps during EWI. Before his departure;;Corps during EWI. Before his departure
34916;41264;;Cpt. Geld;;Cpt. Geld
3380;41274;;Cpt. Varrot;;Cpt. Varrot
6408;41286;;Current heiress to the Randgriz line of;;Current heiress to the Randgriz line of
28868;41326;;Dallas;;Dallas
4300;41333;;Darcsen hunt that hit her village as a;;Darcsen hunt that hit her village as a
9868;41372;;Darcsen inventor who contributed much to;;Darcsen inventor who contributed much to
25872;41413;;Darcsen race as inferior.;;Darcsen race as inferior.
10728;41439;;Daughter of Welkin and Alicia, named for;;Daughter of Welkin and Alicia, named for
2524;41480;;Daughter of the late Darcsen engineer,;;Daughter of the late Darcsen engineer,
31064;41519;;Deciding to become a doctor in order to;;Deciding to become a doctor in order to
34104;41559;;Decisive and level-headed, he ascribes;;Decisive and level-headed, he ascribes
31912;41598;;Despising other people interfering with;;Despising other people interfering with
5560;41638;;Despite entering a secondary tech school;;Despite entering a secondary tech school
21128;41679;;Despite heavy opposition from within her;;Despite heavy opposition from within her
4264;41720;;Despite her education (and with it her;;Despite her education (and with it her
30612;41759;;Despite his failing health, he enlisted.;;Despite his failing health, he enlisted.
4728;41800;;Despite his often grim countenance, Zaka;;Despite his often grim countenance, Zaka
16340;41841;;Dorothy;;Dorothy
3400;41849;;Drafted during EWI, she joined Gallia's;;Drafted during EWI, she joined Gallia's
