215860;336865;;72mm Anti-Armor;Anti-Char 72mm
129156;336881;;72mm Cannon;Canon 72mm
129160;336881;;72mm Cannon;Canon 72mm
216116;336893;;72mm Mortar;Mortier 72mm
174128;336905;;82mm Anti-Armor;Anti-Char 82mm
174132;336905;;82mm Anti-Armor;Anti-Char 82mm
217396;336905;;82mm Anti-Armor;Anti-Char 82mm
129028;336921;;82mm Cannon;Canon 82mm
129032;336921;;82mm Cannon;Canon 82mm
175156;336933;;82mm Mortar;Mortier 82mm
218676;336933;;82mm Mortar;Mortier 82mm
113556;336945;;?;?
112356;336947;;???;???
141336;336947;;???;???
141688;336947;;???;???
142040;336947;;???;???
142392;336947;;???;???
142744;336947;;???;???
143096;336947;;???;???
143448;336947;;???;???
143800;336947;;???;???
144152;336947;;???;???
144504;336947;;???;???
144856;336947;;???;???
145208;336947;;???;???
145560;336947;;???;???
145912;336947;;???;???
146264;336947;;???;???
146616;336947;;???;???
146968;336947;;???;???
147320;336947;;???;???
148024;336947;;???;???
148376;336947;;???;???
155768;336947;;???;???
156120;336947;;???;???
215092;336947;;???;???
263476;336947;;???;???
263732;336947;;???;???
122984;336951;;A disciplined work ethic occasionally enables them//to take a second action after attacking.;Un certain d<vouement au travail lui permet parfois//d'effectuer une seconde action apr>s avoir attaqu<.
123176;337044;;A lackluster commitment to weapons maintenance//occasionally leaves them unable to attack.;Un manque d'implication dans la maintenance de ses armes//la rend  parfois incapable d'attaquer.
126248;337135;;A set percentage of the time, all shots that connect//deal critical damage.;Les tirs ont une chance de faire un coup critique.
128996;337211;;AP;AP
106008;337214;;Aaron;Aaron
96008;337220;;Abbott;Abbott
128964;337227;;Accuracy;Pr<cision
125860;337236;;Accuracy Boost;Pr<cision Plus
173360;337251;;Accuracy Boost 1;Pr<cision Sup.  1
173616;337251;;Accuracy Boost 1;Pr<cision Sup.  1
184112;337268;;Accuracy Boost 10;Pr<cision Sup. 10
194352;337268;;Accuracy Boost 10;Pr<cision Sup. 10
175408;337286;;Accuracy Boost 2;Pr<cision Sup.  2
175920;337286;;Accuracy Boost 2;Pr<cision Sup.  2
175664;337303;;Accuracy Boost 3;Pr<cision Sup. 3
190768;337303;;Accuracy Boost 3;Pr<cision Sup. 3
182576;337320;;Accuracy Boost 4;Pr<cision Sup. 4
192816;337320;;Accuracy Boost 4;Pr<cision Sup. 4
182832;337337;;Accuracy Boost 5;Pr<cision Sup. 5
193072;337337;;Accuracy Boost 5;Pr<cision Sup. 5
183088;337354;;Accuracy Boost 6;Pr<cision Sup. 6
193328;337354;;Accuracy Boost 6;Pr<cision Sup. 6
183344;337371;;Accuracy Boost 7;Pr<cision Sup. 7
193584;337371;;Accuracy Boost 7;Pr<cision Sup. 7
