215860;336865;;72mm Anti-Armor;72mm Anti-Armatura
129156;336881;;72mm Cannon;Cannone da 72 mm
129160;336881;;72mm Cannon;Cannone da 72 mm
216116;336893;;72mm Mortar;Mortaio da 72 mm
174128;336905;;82mm Anti-Armor;82mm Anti-Armatura
174132;336905;;82mm Anti-Armor;82mm Anti-Armatura
217396;336905;;82mm Anti-Armor;82mm Anti-Armatura
129028;336921;;82mm Cannon;Cannone da 82 mm
129032;336921;;82mm Cannon;Cannone da 82 mm
175156;336933;;82mm Mortar;Mortaio da 82 mm
218676;336933;;82mm Mortar;Mortaio da 82 mm
113556;336945;;?;?
112356;336947;;???;???
141336;336947;;???;???
141688;336947;;???;???
142040;336947;;???;???
142392;336947;;???;???
142744;336947;;???;???
143096;336947;;???;???
143448;336947;;???;???
143800;336947;;???;???
144152;336947;;???;???
144504;336947;;???;???
144856;336947;;???;???
145208;336947;;???;???
145560;336947;;???;???
145912;336947;;???;???
146264;336947;;???;???
146616;336947;;???;???
146968;336947;;???;???
147320;336947;;???;???
148024;336947;;???;???
148376;336947;;???;???
155768;336947;;???;???
156120;336947;;???;???
215092;336947;;???;???
263476;336947;;???;???
263732;336947;;???;???
122984;336951;;A disciplined work ethic occasionally enables them//to take a second action after attacking.;Un'etica del lavoro disciplinata consente loro occasionalmente di intraprendere una seconda azione dopo l'attacco.
123176;337044;;A lackluster commitment to weapons maintenance//occasionally leaves them unable to attack.;Un impegno poco approfondito nella manutenzione delle armi li rende occasionalmente incapaci di attaccare.
126248;337135;;A set percentage of the time, all shots that connect//deal critical damage.;Una percentuale fissa di volte in cui tutti i colpi vanno a segno/infliggono danni critici.
128996;337211;;AP;AP
106008;337214;;Aaron;Aronne
96008;337220;;Abbott;Abate
128964;337227;;Accuracy;Precisione
125860;337236;;Accuracy Boost;Aumento della precisione
173360;337251;;Accuracy Boost 1;Aumento della precisione 1
173616;337251;;Accuracy Boost 1;Aumento della precisione 1
184112;337268;;Accuracy Boost 10;Aumento della precisione 10
194352;337268;;Accuracy Boost 10;Aumento della precisione 10
175408;337286;;Accuracy Boost 2;Aumento della precisione 2
175920;337286;;Accuracy Boost 2;Aumento della precisione 2
175664;337303;;Accuracy Boost 3;Aumento della precisione 3
190768;337303;;Accuracy Boost 3;Aumento della precisione 3
182576;337320;;Accuracy Boost 4;Aumento della precisione 4
192816;337320;;Accuracy Boost 4;Aumento della precisione 4
182832;337337;;Accuracy Boost 5;Aumento della precisione 5
193072;337337;;Accuracy Boost 5;Aumento della precisione 5
183088;337354;;Accuracy Boost 6;Aumento della precisione 6
193328;337354;;Accuracy Boost 6;Aumento della precisione 6
183344;337371;;Accuracy Boost 7;Aumento della precisione 7
193584;337371;;Accuracy Boost 7;Aumento della precisione 7
183600;337388;;Accuracy Boost 8;Aumento della precisione 8
193840;337388;;Accuracy Boost 8;Aumento della precisione 8
183856;337405;;Accuracy Boost 9;Aumento della precisione 9
194096;337405;;Accuracy Boost 9;Aumento della precisione 9
123320;337422;;Accuracy is improved after sighting an enemy.;La precisione aumenta dopo aver avvistato un nemico.
119284;337468;;Acrobat;Acrobata
119332;337476;;Acrophobic;Acrofobico
106212;337487;;Adams;Adamo
203824;337493;;Added Effect 1;Effetto aggiunto 1
185904;337508;;Added Effect 10;Effetto aggiunto 10
190256;337508;;Added Effect 10;Effetto aggiunto 10
197680;337508;;Added Effect 10;Effetto aggiunto 10
204080;337524;;Added Effect 2;Effetto aggiunto 2
204336;337539;;Added Effect 3;Effetto aggiunto 3
184368;337554;;Added Effect 4;Effetto aggiunto 4
188720;337554;;Added Effect 4;Effetto aggiunto 4
196144;337554;;Added Effect 4;Effetto aggiunto 4
204592;337554;;Added Effect 4;Effetto aggiunto 4
184624;337569;;Added Effect 5;Effetto aggiunto 5
188976;337569;;Added Effect 5;Effetto aggiunto 5
196400;337569;;Added Effect 5;Effetto aggiunto 5
204848;337569;;Added Effect 5;Effetto aggiunto 5
184880;337584;;Added Effect 6;Effetto aggiunto 6
189232;337584;;Added Effect 6;Effetto aggiunto 6
196656;337584;;Added Effect 6;Effetto aggiunto 6
205104;337584;;Added Effect 6;Effetto aggiunto 6
185136;337599;;Added Effect 7;Effetto aggiunto 7
189488;337599;;Added Effect 7;Effetto aggiunto 7
196912;337599;;Added Effect 7;Effetto aggiunto 7
205360;337599;;Added Effect 7;Effetto aggiunto 7
185392;337614;;Added Effect 8;Effetto aggiunto 8
189744;337614;;Added Effect 8;Effetto aggiunto 8
197168;337614;;Added Effect 8;Effetto aggiunto 8
185648;337629;;Added Effect 9;Effetto aggiunto 9
190000;337629;;Added Effect 9;Effetto aggiunto 9
197424;337629;;Added Effect 9;Effetto aggiunto 9
131972;337644;;Additional Armor;Armatura aggiuntiva
131976;337644;;Additional Armor;Armatura aggiuntiva
164168;337661;;Aft Left Gun;Cannone di poppa sinistro
164172;337661;;Aft Left Gun;Cannone di poppa sinistro
164792;337661;;Aft Left Gun;Cannone di poppa sinistro
164796;337661;;Aft Left Gun;Cannone di poppa sinistro
164584;337674;;Aft Right Gun;Cannone di poppa destro
164588;337674;;Aft Right Gun;Cannone di poppa destro
122120;337688;;After the last bullet is fired, anxiety sets in,//causing a drop in attack power.;Dopo che > stato sparato l'ultimo proiettile, subentra l'ansia, che provoca un calo della potenza di attacco.
94724;337770;;Aged Gentleman;Signore anziano
94732;337770;;Aged Gentleman;Signore anziano
94736;337770;;Aged Gentleman;Signore anziano
94740;337770;;Aged Gentleman;Signore anziano
120676;337785;;Aichmophobic;Aichmofobico
97764;337798;;Aika;Aika
97772;337798;;Aika;Aika
97776;337798;;Aika;Aika
97784;337798;;Aika;Aika
116260;337803;;Aim Boost;Potenziamento della mira
96644;337813;;Aisha;Aisha
96652;337813;;Aisha;Aisha
96656;337813;;Aisha;Aisha
96664;337813;;Aisha;Aisha
106012;337819;;Alan;Alan
106016;337824;;Alec;Alec
95924;337829;;Alex;Alessio
95932;337829;;Alex;Alessio
95936;337829;;Alex;Alessio
81960;337834;;Alicia;Alicia
81968;337834;;Alicia;Alicia
89604;337834;;Alicia;Alicia
89612;337834;;Alicia;Alicia
89616;337834;;Alicia;Alicia
89624;337834;;Alicia;Alicia
92484;337834;;Alicia;Alicia
92492;337834;;Alicia;Alicia
92496;337834;;Alicia;Alicia
92500;337834;;Alicia;Alicia
92564;337834;;Alicia;Alicia
92572;337834;;Alicia;Alicia
92576;337834;;Alicia;Alicia
92580;337834;;Alicia;Alicia
100324;337834;;Alicia;Alicia
100332;337834;;Alicia;Alicia
100336;337834;;Alicia;Alicia
100484;337834;;Alicia;Alicia
100492;337834;;Alicia;Alicia
100496;337834;;Alicia;Alicia
101204;337834;;Alicia;Alicia
101212;337834;;Alicia;Alicia
101216;337834;;Alicia;Alicia
101220;337834;;Alicia;Alicia
121060;337841;;Alicia Hater;Alicia Odia
121012;337854;;Alicia Lover;Amante di Alicia
100504;337867;;Alicia_SelfGuard;Alicia_SelfGuard
100344;337884;;Alicia_val;Alicia_val
117700;337895;;All Heal;Tutto guarisce
116356;337904;;All Units Aim;Tutte le unit= mirano
117988;337904;;All Units Aim;Tutte le unit= mirano
115204;337918;;All Units Attack;Tutte le unit= attaccano
117604;337918;;All Units Attack;Tutte le unit= attaccano
117892;337918;;All Units Attack;Tutte le unit= attaccano
115972;337935;;All Units Defend;Tutte le unit= difendono
118084;337935;;All Units Defend;Tutte le unit= difendono
114724;337952;;All Units Evade;Tutte le unit= evadono
117796;337952;;All Units Evade;Tutte le unit= evadono
126008;337968;;All attack parameters enjoy a boost when shooting with//no one else nearby.;Tutti i parametri di attacco vengono potenziati quando si spara senza nessuno nelle vicinanze.
95944;338044;;Alles;Tutto
126680;338050;;Always a fast healer for some reason, she occasionally//notices that she's completely recovered from injury.;Per qualche ragione guarisce sempre in fretta e ogni tanto nota di essersi ripresa completamente da una ferita.
95844;338159;;Ambassador;Ambasciatore
95852;338159;;Ambassador;Ambasciatore
95856;338159;;Ambassador;Ambasciatore
95860;338159;;Ambassador;Ambasciatore
147672;338159;;Ambassador;Ambasciatore
124180;338170;;Ambush Spotter;Osservatore di imboscate
128980;338185;;Ammo;Munizioni
125236;338190;;Ammo Refill;Ricarica di munizioni
126388;338190;;Ammo Refill;Ricarica di munizioni
122116;338202;;Ammo Worries;Preoccupazioni per le munizioni
177460;338215;;Ammunition pack;Pacco di munizioni
178228;338215;;Ammunition pack;Pacco di munizioni
125096;338231;;An acquired tolerance to toxins renders them immune to//status ailments.;Una tolleranza acquisita alle tossine li rende immuni ai disturbi di stato.
125528;338231;;An acquired tolerance to toxins renders them immune to//status ailments.;Una tolleranza acquisita alle tossine li rende immuni ai disturbi di stato.
118952;338304;;An allergy to dust and sand leads to a steady drain of//HP while in a sandy area.;Un'allergia alla polvere e alla sabbia provoca un consumo costante di//HP quando ci si trova in una zona sabbiosa.
106208;338386;;Anderton;Anderton
217392;338395;;Anti-Armor 2;Anti-armatura 2
129924;338408;;Anti-Armor Rounds;Proiettili anti-corazza
129928;338408;;Anti-Armor Rounds;Proiettili anti-corazza
136708;338408;;Anti-Armor Rounds;Proiettili anti-corazza
136712;338408;;Anti-Armor Rounds;Proiettili anti-corazza
216372;338408;;Anti-Armor Rounds;Proiettili anti-corazza
217652;338408;;Anti-Armor Rounds;Proiettili anti-corazza
217908;338408;;Anti-Armor Rounds;Proiettili anti-corazza
129920;338426;;Anti-Armor Shell 1;Guscio anti-corazza 1
136704;338426;;Anti-Armor Shell 1;Guscio anti-corazza 1
130560;338445;;Anti-Armor Shell 2;Guscio anti-corazza 2
137088;338445;;Anti-Armor Shell 2;Guscio anti-corazza 2
130816;338464;;Anti-Armor Shell 3;Guscio anti-corazza 3
166244;338483;;Anti-Tank Cannon;Cannone anticarro
166252;338483;;Anti-Tank Cannon;Cannone anticarro
168328;338500;;Anti-Tank Turret;Torretta anticarro
168332;338500;;Anti-Tank Turret;Torretta anticarro
168340;338500;;Anti-Tank Turret;Torretta anticarro
172488;338500;;Anti-Tank Turret;Torretta anticarro
172492;338500;;Anti-Tank Turret;Torretta anticarro
172500;338500;;Anti-Tank Turret;Torretta anticarro
124708;338517;;Anti-armor Boost;Potenziamento anti-armatura
116068;338534;;Antidote;Antidoto
126584;338543;;Any time Alicia is at his side, he is filled with the//warmth of their love, boosting his abilities.;Ogni volta che Alicia > al suo fianco, lui si sente pervaso dal calore del loro amore, che potenzia le sue capacit=.
127016;338644;;Any time his feet touch the bountiful earth, his love of//veggies drives his parameters up.;Ogni volta che i suoi piedi toccano la generosa terra, il suo amore per le verdure fa aumentare i suoi parametri.
101936;338736;;Armor Upgrade 1;Potenziamento armatura 1
102368;338752;;Armor Upgrade 10;Potenziamento armatura 10
101984;338769;;Armor Upgrade 2;Potenziamento armatura 2
102032;338785;;Armor Upgrade 3;Potenziamento armatura 3
102080;338801;;Armor Upgrade 4;Potenziamento armatura 4
102128;338817;;Armor Upgrade 5;Potenziamento armatura 5
102176;338833;;Armor Upgrade 6;Potenziamento armatura 6
102224;338849;;Armor Upgrade 7;Potenziamento armatura 7
102272;338865;;Armor Upgrade 8;Potenziamento armatura 8
102320;338881;;Armor Upgrade 9;Potenziamento armatura 9
129284;338897;;Armor-Grade Steel;Acciaio di grado corazzato
129288;338897;;Armor-Grade Steel;Acciaio di grado corazzato
129540;338897;;Armor-Grade Steel;Acciaio di grado corazzato
129544;338897;;Armor-Grade Steel;Acciaio di grado corazzato
113748;338915;;Armored Railcar;Automotrice blindata
171240;338931;;Armored Tower;Torre corazzata
171244;338931;;Armored Tower;Torre corazzata
169988;338945;;Armored Vehicle;Veicolo blindato
116836;338961;;Artillery Support;Supporto di artiglieria
115108;338979;;Attack Boost;Potenziamento dell'attacco
116548;338992;;Attack Weak Spot;Attacca il punto debole
123944;339009;;Attack power against human targets is boosted a//set percentage of the time.;La potenza di attacco contro bersagli umani viene aumentata per una determinata percentuale di volte.
124328;339086;;Attack power against human targets is greatly//boosted a set percentage of the time.;La potenza di attacco contro bersagli umani viene notevolmente aumentata in una determinata percentuale del tempo.
124232;339171;;Attack power and defense increase when they enter the//range of enemy interception fire.;La potenza di attacco e la difesa aumentano quando entrano nel raggio d'azione del fuoco d'intercettazione nemico.
125192;339260;;Attacks against tanks have a chance to deal//a lethal blow.;Gli attacchi contro i carri armati hanno la possibilit= di infliggere un colpo letale.
116840;339320;;Attacks all enemy units.;Attacca tutte le unit= nemiche.
125048;339345;;Attacks have a chance to deal damage to both tank body//and tread HP.;Gli attacchi hanno la possibilit= di infliggere danni sia al corpo del carro armato che ai PV del cingolo.
124424;339415;;Attacks have a set chance of preventing the enemy//from counter attacking.;Gli attacchi hanno una determinata probabilit= di impedire al nemico di contrattaccare.
118424;339490;;Attacks have a set probability of being impossible//for enemies to evade.;Esiste una certa probabilit= che gli attacchi siano impossibili da evitare per i nemici.
124280;339490;;Attacks have a set probability of being impossible//for enemies to evade.;Esiste una certa probabilit= che gli attacchi siano impossibili da evitare per i nemici.
125384;339490;;Attacks have a set probability of being impossible//for enemies to evade.;Esiste una certa probabilit= che gli attacchi siano impossibili da evitare per i nemici.
116648;339564;;Attacks one specified enemy foot soldier unit.;Attacca un'unit= specifica di fanteria nemica.
116744;339611;;Attacks the area around one specified enemy unit.;Attacca l'area attorno a un'unit= nemica specificata.
125432;339661;;Attacks using hand grenades have a set chance of dealing//more damage than normal.;Gli attacchi con granate a mano hanno una certa probabilit= di infliggere piu' danni del normale.
98164;339744;;Audrey;Audrey
98172;339744;;Audrey;Audrey
98176;339744;;Audrey;Audrey
98184;339744;;Audrey;Audrey
138372;339751;;Auto-Reload Device;Dispositivo di ricarica automatica
138376;339751;;Auto-Reload Device;Dispositivo di ricarica automatica
227636;339751;;Auto-Reload Device;Dispositivo di ricarica automatica
117412;339770;;Awaken All;Risvegliare tutti
117316;339781;;Awaken Potential;Risveglia il potenziale
117416;339798;;Awakens all allies' innate abilities (Potentials).;Risveglia le abilit= innate di tutti gli alleati (Potenziali).
117320;339849;;Awakens one ally's innate abilities (Potentials).;Risveglia le abilit= innate di un alleato (Potenziali).
180276;339899;;B-Type Grenade M1;Granata tipo B M1
173876;339917;;B-Type Grenade M2;Granata tipo B M2
266292;339917;;B-Type Grenade M2;Granata tipo B M2
176180;339935;;B-Type Grenade M3;Granata tipo B M3
179764;339953;;B-Type Grenade M4;Granata tipo B M4
180020;339971;;B-Type Grenade M5;Granata tipo B M5
101064;339989;;B_Guard1;B_Guardia1
101144;339998;;B_Guard3;B_Guardia3
126004;340007;;Backup Sniping;Backup di cecchinaggio
121540;340022;;Bad Back;Mal di schiena
106220;340031;;Baker;Panettiere
112500;340037;;Barbed Wire;Filo spinato
106224;340049;;Barnett;Barnett
129796;340057;;Barrel Protector;Protettore della canna
129800;340057;;Barrel Protector;Protettore della canna
112596;340074;;Barricade;Barricata
113028;340074;;Barricade;Barricata
101408;340084;;Basic Armor;Armatura di base
133380;340096;;Basic Drive;Unit= di base
133384;340096;;Basic Drive;Unit= di base
139268;340096;;Basic Drive;Unit= di base
139272;340096;;Basic Drive;Unit= di base
133376;340108;;Basic Drive System;Sistema di azionamento di base
139264;340108;;Basic Drive System;Sistema di azionamento di base
138496;340127;;Basic Flamethrower;Lanciafiamme di base
254256;340127;;Basic Flamethrower;Lanciafiamme di base
259632;340127;;Basic Flamethrower;Lanciafiamme di base
138112;340146;;Basic Gatling Gun;Mitragliatrice Gatling di base
180272;340164;;Basic Hand Grenade;Granata a mano di base
186160;340183;;Basic Machine Gun;Mitragliatrice di base
136192;340201;;Basic Magazine;Rivista di base
136196;340201;;Basic Magazine;Rivista di base
136200;340201;;Basic Magazine;Rivista di base
140544;340201;;Basic Magazine;Rivista di base
140548;340201;;Basic Magazine;Rivista di base
140552;340201;;Basic Magazine;Rivista di base
134528;340216;;Basic Radiator;Radiatore di base
139776;340216;;Basic Radiator;Radiatore di base
180528;340231;;Basic Rifle;Fucile di base
135424;340243;;Basic Sight;Vista di base
140160;340243;;Basic Sight;Vista di base
190512;340255;;Basic Sniper Rifle;Fucile da cecchino di base
129280;340274;;Basic Steel;Acciaio di base
129536;340274;;Basic Steel;Acciaio di base
178480;340286;;Basic Tank Lance;Lancia per serbatoio di base
178736;340286;;Basic Tank Lance;Lancia per serbatoio di base
101360;340303;;Basic Uniform;Uniforme di base
149796;340317;;Batomys;Batomys
150148;340317;;Batomys;Batomys
150500;340317;;Batomys;Batomys
150852;340317;;Batomys;Batomys
151204;340317;;Batomys;Batomys
151556;340317;;Batomys;Batomys
151908;340317;;Batomys;Batomys
152260;340317;;Batomys;Batomys
152612;340317;;Batomys;Batomys
158760;340317;;Batomys;Batomys
158764;340317;;Batomys;Batomys
163748;340317;;Batomys;Batomys
163956;340317;;Batomys;Batomys
164164;340317;;Batomys;Batomys
164372;340317;;Batomys;Batomys
164580;340317;;Batomys;Batomys
164788;340317;;Batomys;Batomys
164996;340317;;Batomys;Batomys
165204;340317;;Batomys;Batomys
165412;340317;;Batomys;Batomys
149800;340325;;Batomys Turret;Torretta Batomys
149804;340325;;Batomys Turret;Torretta Batomys
150152;340325;;Batomys Turret;Torretta Batomys
150156;340325;;Batomys Turret;Torretta Batomys
150504;340325;;Batomys Turret;Torretta Batomys
150508;340325;;Batomys Turret;Torretta Batomys
150856;340325;;Batomys Turret;Torretta Batomys
150860;340325;;Batomys Turret;Torretta Batomys
151208;340325;;Batomys Turret;Torretta Batomys
151212;340325;;Batomys Turret;Torretta Batomys
151560;340325;;Batomys Turret;Torretta Batomys
151564;340325;;Batomys Turret;Torretta Batomys
163960;340325;;Batomys Turret;Torretta Batomys
163964;340325;;Batomys Turret;Torretta Batomys
106216;340340;;Baxter;Baxter
214068;340347;;Beam Weapon;Arma a raggi
214580;340347;;Beam Weapon;Arma a raggi
215348;340347;;Beam Weapon;Arma a raggi
264756;340347;;Beam Weapon;Arma a raggi
265012;340347;;Beam Weapon;Arma a raggi
120824;340359;;Being around close friends makes even the battlefield a//little cheerier, boosting their attack power.;Stare con amici intimi rende persino il campo di battaglia un po' piu' allegro, aumentando il loro potere di attacco.
126440;340462;;Being around nature makes his heart soar, bringing//about a boost in his abilities.;Stare a contatto con la natura fa battere forte il suo cuore, potenziando le sue capacit=.
122456;340546;;Being sighted by multiple enemies makes them want to//show off, upping their defense.;Essere avvistati da piu' nemici li fa desiderare di mettersi in mostra, aumentando la loro difesa.
122504;340632;;Being sighted by multiple enemies puts them on the spot,//making them too afraid to move.;Essere avvistati da piu' nemici li mette in difficolt= e hanno troppa paura per muoversi.
121976;340722;;Being the very last to take action gives them a strong//sense of responsibility that boosts attack power.;Essere gli ultimi ad agire conferisce loro un forte senso di responsabilit= che aumenta il potere di attacco.
