236;888;44;;Sir, we're almost to the Great Vasel Bridge.;Signore, siamo quasi arrivati al ponte Great Vasel.
252;940;71;;Good. Once we cross that, Randgriz is just a hop,&skip and a jump away.;Bene. Una volta che lo attraversiamo, Randgriz > a un&salto, un balzo e un salto di distanza.
268;1016;48;;...!&The enemy is deployed, blocking the bridge!;...!&Il nemico > schierato e blocca il ponte!
284;1072;48;;...!&The enemy is deployed, blocking the bridge!;...!&Il nemico > schierato e blocca il ponte!
300;1128;69;;Those tanks are... That's Jaeger's battalion.&Just our luck it's him.;Quei carri armati sono... Quello > il battaglione di&Jaeger. E per nostra fortuna > lui.
316;1204;69;;Those tanks are... That's Jaeger's battalion.&Just our luck it's him.;Quei carri armati sono... Quello > il battaglione di&Jaeger. E per nostra fortuna > lui.
332;1280;85;;Nice of you to join us, my militia friends!&Nothing personal, but the road ends here.;E' bello che vi siate uniti a noi, miei amici della&milizia! Niente di personale, ma la strada finisce qui.
348;1372;84;;My country, Fhirald, needs Maximilian's support&to regain its independence, you see.;Il mio paese, Fhirald, ha bisogno del sostegno di&Maximilian per riconquistare la sua indipendenza, vedi.
364;1464;80;;And if it means getting Fhirald back, &I don't mind playing the man's guard dog.;E se questo significa riavere indietro Fhirald, non mi&dispiacerebbe interpretare il cane da guardia di quell'uomo.
380;1552;48;;General Jaeger!&The Gallians are attacking, sir!;Generale Jaeger! I Galliani stanno attaccando, signore!
396;1608;65;;Let them attack.&We'll show them what the tank brigade's made of!;Lasciateli attaccare e noi mostreremo loro di che pasta >&fatta la brigata corazzata!
412;1680;36;;Lieutenant Faldio Landzaat? &Get in.;Tenente Faldio Landzaat? &Entra.
428;1724;85;;Heh... At least I get a roof over my head.&I feel bad for the men on the front lines.;Eh... Almeno ho un tetto sopra la testa. E mi dispiace per&gli uomini in prima linea.
444;1816;87;;I don't get it. How did two squad leaders&wind up in a fight? Thought you were friends.;Non capisco. Come hanno fatto due capi squadra a finire a&litigare? Pensavo che foste amici.
460;1908;40;;...No friend could do what I did to him.;...Nessun amico avrebbe potuto fare quello che gli ho&fatto.
476;1956;63;;Now this is supposed to be solitary.&Leave me alone, would you?;Ora, questa dovrebbe essere una cosa solitaria. Lasciatemi&in pace, per favore?
492;2024;52;;Just don't do anything stupid for the next ten days.;Non fare niente di stupido per i prossimi dieci giorni.
508;2084;83;;Welkin... How did we get to thinking about&the war so differently from one another?;Ebbene... Come abbiamo fatto a pensare alla guerra in modo&cosi diverso gli uni dagli altri?
524;2172;72;;I figured we'd be friends as old men...&I still wish that were possible.;Pensavo che saremmo stati amici da vecchi... e continuo a&desiderare che cio' fosse possibile.
540;2252;73;;But I can't deny the feeling that Gallia &needs power to survive, either.;Ma non posso negare la sensazione che la Gallia abbia&bisogno di energia per sopravvivere.
556;2332;89;;I hope we get the chance to talk this out...&To talk about the Gallia we want as old men.;Spero che avremo la possibilit= di parlarne... e di&parlare della Gallia che vogliamo da vecchi.
572;2428;67;;General Jaeger!&The battalion has almost completely evacuated, sir!;Generale Jaeger! Il battaglione > quasi completamente&evacuato, signore!
588;2500;53;;All right.&Then you shall join with them at Randgriz.;Va bene. Allora ti unirai a loro a Randgriz.
604;2560;77;;And tell this to His Grace,&the Gallian Militia are not to be underestimated.;E ditelo a Sua Grazia: la milizia gallica non deve essere&sottovalutata.
620;2644;46;;Yes, sir!&...You won't be coming with us, sir?;Si, signore!...Non verr= con noi, signore?
636;2696;49;;No. I shall not be returning to the Empire again.;No, non tornero' piu' nell'Impero.
652;2752;93;;I placed my lot on Maximilian's army,&as the swiftest means to reclaim Fhirald's sovereignty.;Ho puntato tutto sull'esercito di Maximilian, in quanto&mezzo piu' rapido per rivendicare la sovranit= di Fhirald.
668;2852;85;;I thought force would restore our home,&that military might was a country's strength.;Pensavo che la forza avrebbe ripristinato la nostra casa e&che la potenza militare fosse la forza di un paese.
684;2944;55;;But, then I found myself fallen to the Gallian Militia.;Ma poi mi sono ritrovato tra le mani della milizia gallica.
700;3004;26;;That is when I realized...;Fu allora che realizzai...
716;3036;59;;They fight in order to protect their homes, their families.;Combattono per proteggere le loro case e le loro famiglie.
732;3100;73;;Their dedication to this land is the strength that shall&preserve Gallia.;La loro dedizione a questa terra > la forza che preserver=&la Gallia.
748;3180;37;;Ah yes, tell His Grace another thing.;Ah si, di' un'altra cosa a Sua Grazia.
764;3224;97;;True strength lies not in steel and powder.&Valkof and the Marmota alone will not win this war.;La vera forza non sta nell'acciaio e nella polvere da sparo.&Valkof e la Marmota da soli non vinceranno questa guerra.
780;3328;40;;Sir!&May the Valkyrur... watch over you!;Signore! E che la Valkyrur... vegli su di te!
796;3376;8;;And you.;E tu.
812;3392;38;;All right, we've broken through Vasel.;Bene, abbiamo sfondato Vasel.
828;3436;43;;We're in striking distance of Randgriz now!;Ora siamo a un passo da Randgriz!
844;3484;42;;Welkin. I'm afraid I've got some bad news.;Salve. Temo di avere delle brutte notizie.
860;3532;86;;The Marmota reached the gates at Randgriz.&It plowed through them and into the castle.;La Marmota raggiunse i cancelli di Randgriz e li&attraverso', entrando nel castello.
876;3624;21;;No! We're too late...;No! Siamo troppo tardi...
