140;408;20;;I see three of them.   ;Ne vedo tre.
156;436;34;;That's three too many. Stay sharp! ;Sono tre di troppo. State attenti!
172;476;265;; &        About CP (Command Points)& &When combat starts, you'll see a map&of the area and your units' positions.&This is referred to as Command Mode.&Here, you'll select the unit you'd like to&move based on their position respective to&the enemy, then press Enter.  ;& Informazioni sui CP (Punti Comando)& &-&Quando inizia il combattimento, vedrai u-&na mappa&dell'area e le posizioni delle -&tue unit=.&Questa > chiamata Modalit= Co-&mando.&Qui, selezionerai l'unit= che des-&ideri&spostare in base alla sua posizion-&e rispetto al nemico, quindi premi Invio-&.
188;748;363;;Doing so uses up one of the Command Points&(CP) displayed at the top of the screen.&They reflect your ability as a commander&and represent the number of times you can&give instructions to (i.e. control) your&units per each player phase.&In this battle, you have three CP,&so you can issue instructions to your&units up to three times.&Let's try moving a unit now.;Cosi facendo si consuma uno dei Punti Co-&mando (PC) visualizzati nella parte supe-&riore dello schermo. Essi riflettono la -&tua abilit= come comandante e rappresent-&ano il numero di volte in cui puoi dare -&istruzioni (ovvero controllare) le tue u-&nit= per ogni fase del giocatore. In que-&sta battaglia hai tre PC, quindi puoi da-&re istruzioni alle tue unit= fino a tre -&volte. Proviamo ora a muovere un'unit=.
204;1116;187;; &         About AP (Action Points)& &Use CP to select a unit in Command Mode&and you'll be plunged into Action Mode.& &Here, you can freely move the unit you&selected around the field.& ;& Informazioni sugli AP (Punti Azione)& -&&Usa i CP per selezionare un'unit= in Mo-&dalit= Comando&e verrai catapultato nell-&a Modalit= Azione.& &Qui, puoi muovere l-&iberamente l'unit= selezionata sul campo-&.&
220;1308;321;;As you move around in Action Mode, the&Action Points (AP) gauge at the bottom&of the screen will gradually deplete.&This represents that unit's mobility,&once it reaches zero, the unit will be&unable to move any further.&Keeping an eye on the unit's remaining&AP while they are in motion is critical&to keeping them safe.  ;Mentre ti muovi in ​​Modalit= Azione, l'-&indicatore dei Punti Azione (PA) nella p-&arte inferiore dello schermo si esaurir=-& gradualmente. Cio' rappresenta la mobili-&t= dell'unit= e, una volta raggiunto lo -&zero, l'unit= non sar= piu' in grado di m-&uoversi. Tenere d'occhio i PA rimanenti -&dell'unit= mentre > in movimento > fonda-&mentale per mantenerla al sicuro.
236;1636;63;;For now, use the left stick to&move the unit near the sandbags.;Per ora, usa la levetta sinistra per spo-&stare l'unit= vicino ai sacchi di sabbia-&.
252;1704;33;;         About AP (Action Points)  ;Informazioni su AP (Punti Azione)
268;1744;321;;As you move around in Action Mode, the&Action Points (AP) gauge at the bottom of&the screen will gradually deplete.&This represents that unit's mobility,&once it reaches zero, the unit will be&unable to move any further.&Keeping an eye on the unit's remaining&AP while they are in motion is critical&to keeping them safe.  ;Mentre ti muovi in ​​Modalit= Azione, l'-&indicatore dei Punti Azione (PA) nella p-&arte inferiore dello schermo si esaurir=-& gradualmente. Cio' rappresenta la mobili-&t= dell'unit= e, una volta raggiunto lo -&zero, l'unit= non sar= piu' in grado di m-&uoversi. Tenere d'occhio i PA rimanenti -&dell'unit= mentre > in movimento > fonda-&mentale per mantenerla al sicuro.
284;2072;15;;About Attacking;A proposito di attacco
300;2092;836;;Press the R1 button to enter Target Mode.&There, the unit will prepare to attack&with their currently selected weapon.&Use the left stick to move the crosshairs&onto an enemy, or the L1 and R1 buttons&to snap between targets.&Enemies will not attack while you are in&Target Mode, so take your time to aim well&before pressing Enter to fire.&Your shots will land somewhere within the&circle surrounding the crosshairs, so it's&best to center it on the entire target.&Shots to the head or other weak&points will result in greater damage.& &A unit can only attack from Target Mode&up to once per action, so choose wisely&before you open fire.&If the target survives your attack,&they may then launch a counterattack.& &A damaged unit may not have the HP (Hit&Points) to survive the enemy's counter,&so be careful when planning your attack.   ;Premi il pulsante R1 per entrare in Moda-&lit= Bersaglio. Li, l'unit= si preparer=-& ad attaccare con l'arma attualmente sel-&ezionata. Usa la levetta sinistra per sp-&ostare il mirino su un nemico, oppure i -&pulsanti L1 e R1 per passare da un bersa-&glio all'altro. I nemici non attaccheran-&no mentre sei in Modalit= Bersaglio, qui-&ndi prenditi il ​​tempo necessario per m-&irare bene prima di premere Invio per sp-&arare. I tuoi colpi atterreranno da qual-&che parte all'interno del cerchio che ci-&rconda il mirino, quindi > meglio centra-&rlo sull'intero bersaglio. I colpi alla -&testa o ad altri punti deboli causeranno-& danni maggiori. Un'unit= puo' attaccare -&dalla Modalit= Bersaglio solo una volta -&per azione, quindi scegli con attenzione-& prima di aprire il fuoco. Se il bersagl-&io sopravvive al tuo attacco, potrebbe l-&anciare un contrattacco. Un'unit= danneg-&giata potrebbe non avere i PV (Punti Fer-&ita) per sopravvivere al contrattacco de-&l nemico, quindi fai attenzione quando p-&ianifichi il tuo attacco.
