132;368;78;;Foot soldiers, mortars, tanks...&You name it, they'll be sending it all at us.;Fanteria, mortai, carri armati...&Ci manderanno addosso di tutto.
148;452;75;;Stay calm and just get from switch to switch.&All right soldiers, move out!;State calmi e passate da un interruttore&all'altro. Bene, soldati, muovetevi!
164;532;52;;Okay, that's the first switch down!&Keep it up, 7's!;Ok, il primo interruttore > andato!&Continuate cosi, 7!
180;592;48;;Great, that's two switches!&Just one left to go!;Ottimo, ci sono due interruttori!&Ne manca solo uno!
196;648;46;;The citadel cannonry is awfully fierce, sir...;I cannoni della cittadella sono davvero&feroci, signore...
212;700;33;;Yeah. We need to find a way to...;Si. Dobbiamo trovare un modo per...
228;740;4;;...!;...!
244;752;50;;The ladders on the walls...&They might be the key.;Le scale sui muri...&potrebbero essere la chiave.
260;808;41;;Yes! We've hit all three of the switches!;Sì! Li abbiamo premuti tutti e tre!
276;856;34;;Excellent job, Lieutenant Gunther!;Ottimo lavoro, tenente Gunther!
292;896;34;;Excellent job, Lieutenant Gunther!;Ottimo lavoro, tenente Gunther!
308;936;81;;All right, we're sending the explosives down!&Once we blow the gate, we storm in!;Bene, mandiamo giu' gli esplosivi!&Fatto saltare il cancello, entriamo!
324;1024;81;;All right, we're sending the explosives down!&Once we blow the gate, we storm in!;Bene, mandiamo giu' gli esplosivi!&Fatto saltare il cancello, entriamo!
340;1112;13;;Yes, Captain!;Si, Capitano!
356;1132;13;;Yes, Captain!;Si, Capitano!
