11172;38131;;Bird among his friends in the squad.;;Bird tra i suoi amici nella squadra.
22400;38170;;Gallian Girl weekly her preferred fix;;Gallian Girl settimanalmente la sua dose preferita
13352;38210;;I Think I Can't, a self-published;;Penso di non poterlo fare, un libro autopubblicato
17236;38246;;that damned mole among his enemies.;;quella dannata talpa tra i suoi nemici.
3384;38284;;3rd Regiment Captain and direct superior;;Capitano del 3 Reggimento e superiore diretto
18096;38325;;A close friend of Ted's, the two often;;Un caro amico di Ted, i due spesso
2120;38364;;A country girl, she saw no shortage of;;Una ragazza di campagna, non vedeva la mancanza di
27160;38403;;A discerning eye for profit and abundant;;Un occhio attento al profitto e all'abbondanza
11176;38444;;A fan of any spot with a clear view, he;;Un fan di qualsiasi posto con una visuale libera, lui
23720;38484;;A long chain of turf battles ultimately;;Una lunga serie di battaglie per il territorio alla fine
18088;38524;;A lover of all types of meat, porcavians;;Un amante di tutti i tipi di carne, porcavians
10328;38565;;A lover of animals, he hoped to become a;;Amante degli animali, sperava di diventare un
1688;38606;;A lover of nature since childhood, his ;;Amante della natura fin dall'infanzia, il suo
3448;38646;;A lust for revenge for her slain love,;;Un desiderio di vendetta per il suo amore ucciso,
12472;38685;;A major tank aficionado, he enlisted for;;Grande appassionato di carri armati, si arruolo' per
23272;38726;;A mother hen by nature, he worked as a;;Una chioccia per natura, lavorava come
2568;38765;;A natural tinkerer, her hobbies include;;Appassionata di bricolage, i suoi hobby includono
20264;38805;;A pioneer in the raising of longhaired;;Pioniere nell'allevamento di cani a pelo lungo
7720;38844;;A presence in the Gunther house since;;Una presenza in casa Gunther sin dal
34936;38882;;A sadist to the core, he experienced a;;Sadico fino al midollo, ha vissuto un
34520;38921;;A specialist in shock-and-awe tactics,;;Uno specialista in tattiche di shock e timore,
20680;38960;;A sucker for anything trendy, she often;;Appassionata di tutto cio' che > alla moda, spesso
4712;39000;;Accustomed to closing one eye to aid in;;Abituato a chiudere un occhio per aiutare
32776;39040;;Actually a set of triplets named;;In realt= un insieme di terzine chiamate
22840;39073;;Adversity only makes her stronger as she;;Le avversit= la rendono solo piu' forte mentre
16808;39114;;After EWII, she left on a journey-;;Dopo EWII, parti per un viaggio-
5160;39149;;After Isara's death, he requested to be;;Dopo la morte di Isara, chiese di essere
33656;39189;;After being identified as a Valkyria in;;Dopo essere stata identificata come una Valkyrur in
7736;39229;;After evacuating Bruhl, she moved to the;;Dopo aver evacuato Bruhl, si trasferi a
12056;39270;;After leaving Squad 7, he began a school;;Dopo aver lasciato la Squadra 7, ha iniziato una scuola
4296;39311;;After losing her family in an Imperial;;Dopo aver perso la sua famiglia in un conflitto imperiale
28040;39350;;After marrying his Darcsen lover, Lynn,;;Dopo aver sposato la sua amante Darcsen, Lynn,
27176;39390;;After opening Gallia's first casino in;;Dopo aver aperto il primo casino' di Gallia nel
24584;39429;;After opening his dream restaurant back;;Dopo aver riaperto il ristorante dei suoi sogni
5176;39469;;After receiving the late Isara's tools;;Dopo aver ricevuto gli strumenti della defunta Isara
12920;39508;;After saving the daughter of a well-off;;Dopo aver salvato la figlia di un ricco
4744;39548;;After the war's end, he dedicated his;;Dopo la fine della guerra dedico' la sua
18536;39586;;After the war, he invited a group of his;;Dopo la guerra, invito' un gruppo di suoi
14216;39627;;After the war, she returned to Fouzen as;;Dopo la guerra, torno' a Fouzen come
7704;39668;;Age 38. Nanny to the Gunther family like;;Et= 38. Tata della famiglia Gunther come
9000;39709;;Age 52. A frequent visitor to the graves;;Et= 52. Un visitatore frequente delle tombe
8996;39750;;Aged Gentleman;;Signore anziano
22820;39765;;Aika;;Aika
15476;39770;;Aisha;;Aisha
