140;408;20;;I see three of them.   ;Ne vedo tre.
156;436;34;;That's three too many. Stay sharp! ;Sono tre di troppo. State attenti!
172;476;265;; &        About CP (Command Points)& &When combat starts, you'll see a map&of the area and your units' positions.&This is referred to as Command Mode.&Here, you'll select the unit you'd like to&move based on their position respective to&the enemy, then press Enter.  ;&Informazioni sui CP (Punti di Comando)&&Quando inizia il combattimento, vedrai una mappa&dell'area e delle posizioni delle tue unit=.&Questa > chiamata Modalit= Comando.&Qui, selezionerai l'unit= che desideri&muoversi in base alla loro posizione rispettiva&il nemico, quindi premi Invio.
188;748;363;;Doing so uses up one of the Command Points&(CP) displayed at the top of the screen.&They reflect your ability as a commander&and represent the number of times you can&give instructions to (i.e. control) your&units per each player phase.&In this battle, you have three CP,&so you can issue instructions to your&units up to three times.&Let's try moving a unit now.;Facendo cosi si consuma uno dei Punti Comando&(CP) visualizzato nella parte superiore dello schermo.&Riflettono la tua abilit= come comandante&e rappresentano il numero di volte in cui puoi&dare istruzioni a (cio> controllare) il tuo&unit= per ogni fase del giocatore.&In questa battaglia hai tre CP,&cosi puoi impartire istruzioni al tuo&unit= fino a tre volte.&Proviamo ora a spostare un'unit=.
204;1116;187;; &         About AP (Action Points)& &Use CP to select a unit in Command Mode&and you'll be plunged into Action Mode.& &Here, you can freely move the unit you&selected around the field.& ;&Informazioni su AP (Punti Azione)&&Usa CP per selezionare un'unit= in modalit= comando&e verrai catapultato nella Modalit= Azione.&&Qui puoi spostare liberamente l'unit= che desideri&selezionati attorno al campo.&
220;1308;321;;As you move around in Action Mode, the&Action Points (AP) gauge at the bottom&of the screen will gradually deplete.&This represents that unit's mobility,&once it reaches zero, the unit will be&unable to move any further.&Keeping an eye on the unit's remaining&AP while they are in motion is critical&to keeping them safe.  ;Mentre ti muovi in modalit= Azione, il&Indicatore dei Punti Azione (AP) in basso&dello schermo si esaurir= gradualmente.&Cio' rappresenta la mobilit= di quell'unit=,&una volta raggiunto lo zero, l'unit= sar=&incapace di muoversi ulteriormente.&Tenendo d'occhio la carica rimanente dell'unit=&L'AP mentre sono in movimento > fondamentale&per mantenerli al sicuro.
236;1636;63;;For now, use the left stick to&move the unit near the sandbags.;Per ora, usa la levetta sinistra per&spostare l'unit= vicino ai sacchi di sabbia.
252;1704;33;;         About AP (Action Points)  ;Informazioni su AP (Punti Azione)
268;1744;321;;As you move around in Action Mode, the&Action Points (AP) gauge at the bottom of&the screen will gradually deplete.&This represents that unit's mobility,&once it reaches zero, the unit will be&unable to move any further.&Keeping an eye on the unit's remaining&AP while they are in motion is critical&to keeping them safe.  ;Mentre ti muovi in modalit= Azione, il&Indicatore dei Punti Azione (AP) nella parte inferiore di&lo schermo si esaurir= gradualmente.&Cio' rappresenta la mobilit= di quell'unit=,&una volta raggiunto lo zero, l'unit= sar=&incapace di muoversi ulteriormente.&Tenendo d'occhio la carica rimanente dell'unit=&L'AP mentre sono in movimento > fondamentale&per mantenerli al sicuro.
284;2072;15;;About Attacking;A proposito di attacco
300;2092;836;;Press the R1 button to enter Target Mode.&There, the unit will prepare to attack&with their currently selected weapon.&Use the left stick to move the crosshairs&onto an enemy, or the L1 and R1 buttons&to snap between targets.&Enemies will not attack while you are in&Target Mode, so take your time to aim well&before pressing Enter to fire.&Your shots will land somewhere within the&circle surrounding the crosshairs, so it's&best to center it on the entire target.&Shots to the head or other weak&points will result in greater damage.& &A unit can only attack from Target Mode&up to once per action, so choose wisely&before you open fire.&If the target survives your attack,&they may then launch a counterattack.& &A damaged unit may not have the HP (Hit&Points) to survive the enemy's counter,&so be careful when planning your attack.   ;Premere il pulsante R1 per accedere alla modalit= Target.&Li l'unit= si preparer= all'attacco&con l'arma attualmente selezionata.&Usa la levetta sinistra per muovere il mirino&su un nemico, o i pulsanti L1 e R1&per scattare tra i bersagli.&I nemici non attaccheranno mentre sei dentro&Modalit= bersaglio, quindi prenditi il tempo necessario per mirare bene&prima di premere Invio per sparare.&I tuoi colpi atterreranno da qualche parte all'interno del&cerchio che circonda il mirino, quindi >&> meglio centrarlo sull'intero bersaglio.&Colpi alla testa o altri deboli&punti provocheranno danni maggiori.&&Un'unit= puo' attaccare solo dalla modalit= bersaglio&fino a una volta per azione, quindi scegli con saggezza&prima di aprire il fuoco.&Se il bersaglio sopravvive al tuo attacco,&potrebbero quindi lanciare un contrattacco.&&Un'unit= danneggiata potrebbe non avere HP (Hit&Punti) per sopravvivere al contrattacco del nemico,&quindi fate attenzione quando pianificate il vostro attacco.
316;2936;206;;&@@@@@@@w”½Œ‚x‚É‚Â‚¢‚Ä&&UŒ‚‚ð‚µ‚©‚¯‚ÄA“G‚Ì‚g‚o‚ªŽc‚Á‚Ä‚¢‚éê‡‚É&“G‚ª”½Œ‚‚ð‚µ‚Ä‚­‚é‚±‚Æ‚ª‚ ‚è‚Ü‚·B&&‚g‚o‚ª’á‚¢ó‘Ô‚ÅUŒ‚‚ð‚µ‚©‚¯‚½‚è‚·‚é‚Æ&”½Œ‚‚Å•Ô‚è“¢‚¿‚É‚ ‚¤‚±‚Æ‚à‚ ‚è‚Ü‚·B&’ˆÓ‚µ‚Ä‚­‚¾‚³‚¢B ;@@@@@@@w”½Œ‚x‚É‚Â‚¢‚Ä&UŒ‚‚ð‚‚©‚¯‚ÄA“G‚I'‚g‚o‚ªŽc‚Á‚Ä‚¢‚<ê‡‚É&“G‚ª”½Œ‚‚ð‚‚Ä‚‚<‚±‚Æ‚ª‚ ‚>‚Ü‚·B&‚g‚o‚ª'á‚¢ó'Ô‚ÅUŒ‚‚ð‚‚©‚¯‚½‚>‚·‚<‚Æ&”½Œ‚‚Å•Ô‚>“¢‚¿‚É‚ ‚¤‚±‚Æ‚=‚ ‚>‚Ü‚·B&’ˆÓ‚‚Ä‚‚¾‚³‚¢B
332;3148;256;; &           About Ending Actions& &A unit with zero remaining AP that has&already performed an attack in&Target Mode is unable to act further.&Press Cancel to end their current&action.& &This will return you to Command Mode,&where you will be able to select the next&unit you wish to direct.&You can press Cancel and end a unit's&action even if they have not attacked and&still have AP.;&Informazioni sulle azioni di fine&&Un'unit= con zero AP rimanenti che ha&ha gi= eseguito un attacco in&La modalit= Target non > in grado di agire ulteriormente.&Premere Annulla per terminare la sessione corrente&azione.&&Questo ti riporter= alla modalit= comando,&dove potrai selezionare il prossimo&unit= che desideri dirigere.&Puoi premere Annulla e terminare un'unit=&azione anche se non hanno attaccato e&hanno ancora AP.
