132;368;78;;Foot soldiers, mortars, tanks...&You name it, they'll be sending it all at us.;Soldati di fanteria, mortai, carri armati...&Qualunque cosa tu voglia, loro ce la manderanno addosso.
148;452;75;;Stay calm and just get from switch to switch.&All right soldiers, move out!;Mantieni la calma e spostati da uno switch all'altro.&Bene, soldati, muovetevi!
164;532;52;;Okay, that's the first switch down!&Keep it up, 7's!;Ok, questo > il primo interruttore in basso!&Continuate cosi, 7!
180;592;48;;Great, that's two switches!&Just one left to go!;Ottimo, ci sono due interruttori!&Ne manca solo uno!
196;648;46;;The citadel cannonry is awfully fierce, sir...;Il cannoneggiamento della cittadella > tremendamente feroce, signore...
212;700;33;;Yeah. We need to find a way to...;Si. Dobbiamo trovare un modo per...
228;740;4;;...!;...!
244;752;50;;The ladders on the walls...&They might be the key.;Le scale sui muri...&Potrebbero essere la chiave.
260;808;41;;Yes! We've hit all three of the switches!;Si! Abbiamo colpito tutti e tre gli interruttori!
276;856;34;;Excellent job, Lieutenant Gunther!;Ottimo lavoro, tenente Gunther!
292;896;34;;Excellent job, Lieutenant Gunther!;Ottimo lavoro, tenente Gunther!
308;936;81;;All right, we're sending the explosives down!&Once we blow the gate, we storm in!;Bene, stiamo mandando giu' gli esplosivi!&Una volta sfondato il cancello, entriamo come razziatori!
324;1024;81;;All right, we're sending the explosives down!&Once we blow the gate, we storm in!;Bene, stiamo mandando giu' gli esplosivi!&Una volta sfondato il cancello, entriamo come razziatori!
340;1112;13;;Yes, Captain!;Si, Capitano!
356;1132;13;;Yes, Captain!;Si, Capitano!
